"","district","upazila","union","date","hpa_id","demo_gender","demo_educ","license","license_who","invest_amnt","invest_self","invest_bank","invest_mfi","invest_family","invest_partner","revenue","train_yn","train_maxwashi","train_maxwashii","train_wb","train_ide","train_asa","train_other","serv_growth","serv_businessmodel","serv_ancpnc","serv_other","mou_le","mou_wholesaler"
"1","Khulna",4730,473027,2018-07-01,3,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"2","Khulna",4730,473088,2018-07-01,4,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
"3","Patuakhali",7857,785750,2018-07-01,5,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"4","Khulna",4712,471259,2018-07-01,6,"F","Primary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"5","Patuakhali",7897,789744,2018-07-01,9,"F","Secondary",0,NA,4000,1,0,0,0,0,185000,1,1,0,0,0,0,1,1,1,1,1,1,0
"6","Jessore",4138,413819,2018-07-01,10,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"7","Patuakhali",7895,789510,2018-07-01,11,"F","Secondary",0,NA,3000,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"8","Patuakhali",7857,785750,2018-07-01,12,"F","Secondary",0,NA,2000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"9","Satkhira",8743,874347,2018-07-01,13,"F","Secondary",0,NA,1e+05,1,0,0,0,0,518000,1,0,1,0,0,0,0,1,1,1,1,1,0
"10","Khulna",4712,471235,2018-07-01,14,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0
"11","Khulna",4730,473020,2018-07-01,15,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"12","Jessore",4138,413876,2018-07-01,16,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"13","Jessore",4104,410442,2018-07-01,17,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"14","Patuakhali",7852,785210,2018-07-01,19,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"15","Patuakhali",7857,785722,2018-07-01,20,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
"16","Patuakhali",7897,789783,2018-07-01,21,"F","Higher",0,NA,2000,1,0,0,0,0,13000,1,0,1,0,0,0,0,1,1,1,1,1,0
"17","Patuakhali",7866,786659,2018-07-01,22,"F","Read & write",0,NA,3000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"18","Patuakhali",7857,785722,2018-07-01,24,"F","Secondary",0,NA,1500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"19","Patuakhali",7897,789734,2018-07-01,25,"F","Higher",0,NA,5000,1,0,0,0,0,17000,1,0,1,0,0,0,0,1,1,1,0,1,0
"20","Khulna",4730,473040,2018-07-01,26,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"21","Satkhira",8782,878247,2018-07-01,27,"F","Secondary",0,NA,1000,0,0,1,0,0,52000,1,0,1,0,0,0,1,1,1,1,1,1,0
"22","Patuakhali",7895,789527,2018-07-01,28,"F","Secondary",0,NA,2000,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0
"23","Khulna",4730,473006,2018-07-01,29,"F","Higher",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"24","Patuakhali",7857,785769,2018-07-01,30,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"25","Patuakhali",7897,789744,2018-07-01,31,"F","Secondary",0,NA,10000,0,0,1,0,0,2e+05,1,0,1,0,0,0,0,1,1,1,1,1,0
"26","Khulna",4730,473081,2018-07-01,32,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"27","Satkhira",8782,878251,2018-07-01,33,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"28","Satkhira",8782,878281,2018-07-01,35,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"29","Patuakhali",7895,789513,2018-07-01,36,"F","Secondary",0,NA,2000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"30","Patuakhali",7866,786659,2018-07-01,38,"F","Primary",0,NA,2000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"31","Patuakhali",7857,785737,2018-07-01,39,"F","Secondary",0,NA,1000,1,0,0,0,0,1000,1,1,1,0,0,0,1,1,1,1,0,1,0
"32","Patuakhali",7895,789540,2018-07-01,40,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"33","Patuakhali",7852,785210,2018-07-01,41,"F","Primary",0,NA,10000,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"34","Patuakhali",7857,785769,2018-07-01,42,"F","Secondary",0,NA,1500,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
"35","Khulna",4730,473067,2018-07-01,43,"F","Secondary",0,NA,600,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"36","Khulna",4730,473013,2018-07-01,44,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0
"37","Khulna",4730,473094,2018-07-01,45,"F","Primary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"38","Khulna",4730,473094,2018-07-01,46,"F","Primary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"39","Khulna",4764,476427,2018-07-01,48,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"40","Khulna",4730,473067,2018-07-01,49,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"41","Satkhira",8743,874339,2018-07-01,50,"F","Secondary",0,NA,250,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"42","Patuakhali",7857,785767,2018-07-01,51,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"43","Patuakhali",7857,785750,2018-07-01,53,"F","Primary",0,NA,3000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"44","Satkhira",8782,878227,2018-07-01,55,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"45","Patuakhali",7895,789540,2018-07-01,56,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"46","Jessore",4161,416172,2018-07-01,57,"F","Secondary",0,NA,2000,1,0,0,0,0,20000,1,0,1,0,0,0,0,1,1,1,0,1,0
"47","Patuakhali",7895,789574,2018-07-01,58,"F","Primary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0
"48","Satkhira",8782,878247,2018-07-01,59,"F","Read & write",0,NA,2000,0,0,1,0,0,240000,1,0,1,0,0,0,0,1,1,1,0,1,0
"49","Patuakhali",7897,789732,2018-07-01,61,"F","Primary",0,NA,1200,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"50","Patuakhali",7897,789734,2018-07-01,62,"F","Secondary",0,NA,5000,1,0,0,0,0,50000,1,1,1,0,0,0,0,1,1,1,0,1,0
"51","Patuakhali",7857,785778,2018-07-01,64,"F","Higher",0,NA,1500,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"52","Patuakhali",7866,786629,2018-07-01,65,"F","Secondary",0,NA,4000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"53","Patuakhali",7897,789732,2018-07-01,66,"F","Higher",0,NA,1200,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"54","Patuakhali",7895,789567,2018-07-01,67,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"55","Jessore",4138,413876,2018-07-01,68,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"56","Patuakhali",7857,785778,2018-07-01,69,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"57","Patuakhali",7857,785769,2018-07-01,70,"F","Higher",0,NA,1000,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
"58","Khulna",4730,473074,2018-07-01,71,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"59","Patuakhali",7857,785755,2018-07-01,73,"F","Secondary",0,NA,1000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"60","Patuakhali",7857,785778,2018-07-01,74,"F","Secondary",0,NA,700,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"61","Patuakhali",7895,789513,2018-07-01,75,"F","Secondary",0,NA,2000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"62","Patuakhali",7895,789531,2018-07-01,76,"F","Higher",0,NA,8000,1,0,0,0,0,18000,1,0,1,0,1,0,0,1,1,1,1,1,0
"63","Patuakhali",7895,789533,2018-07-01,77,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"64","Patuakhali",7857,785711,2018-07-01,78,"F","Secondary",0,NA,2000,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0
"65","Satkhira",8743,874339,2018-07-01,80,"F","Secondary",0,NA,200,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"66","Satkhira",8743,874387,2018-07-01,82,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"67","Satkhira",8782,878281,2018-07-01,84,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"68","Khulna",4730,473061,2018-07-01,85,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"69","Satkhira",8790,879071,2018-07-01,86,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
