"","district","upazila","union","hpa_id","license","mou_le","revenue","cost","profit"
"1","Khulna",4730,473088,4,0,1,13000,6000,7000
"2","Patuakhali",7857,785750,5,0,1,25870,12870,13000
"3","Patuakhali",7897,789744,9,0,1,57200,37200,20000
"4","Patuakhali",7895,789510,11,1,1,78720,63720,15000
"5","Patuakhali",7857,785750,12,0,1,77325,53325,24000
"6","Satkhira",8743,874347,13,1,1,46040,26040,20000
"7","Khulna",4712,471235,14,0,1,37650,22650,15000
"8","Khulna",4730,473020,15,0,1,18600,8600,10000
"9","Jessore",4138,413876,16,1,1,79940,69940,10000
"10","Satkhira",8743,874347,18,1,0,5000,3000,2000
"11","Khulna",4730,473006,29,0,1,20000,10000,10000
"12","Patuakhali",7857,785769,30,1,1,36990,24660,12330
"13","Patuakhali",7866,786659,38,1,1,59600,23600,36000
"14","Patuakhali",7857,785737,39,0,1,44908,29908,15000
"15","Patuakhali",7895,789540,40,0,1,150000,90000,60000
"16","Patuakhali",7852,785210,41,0,1,61160,36160,25000
"17","Patuakhali",7857,785769,42,0,1,69910,34910,35000
"18","Khulna",4730,473067,43,0,0,22850,12450,10400
"19","Khulna",4730,473013,44,0,1,35680,28480,7200
"20","Khulna",4730,473094,45,0,0,33000,17000,16000
"21","Khulna",4730,473067,49,0,1,17000,10000,7000
"22","Satkhira",8743,874339,50,0,1,161340,111340,50000
"23","Patuakhali",7857,785767,51,1,1,35520,15000,20520
"24","Patuakhali",7857,785750,53,0,1,45900,18900,27000
"25","Patuakhali",7895,789533,54,1,1,80000,50000,30000
"26","Patuakhali",7895,789540,56,1,1,20950,17350,3600
"27","Jessore",4161,416172,57,1,1,51500,21500,30000
"28","Patuakhali",7895,789574,58,1,1,90120,80120,10000
"29","Patuakhali",7897,789734,62,1,1,49180,20180,29000
"30","Patuakhali",7857,785778,64,0,1,27960,16960,11000
"31","Patuakhali",7897,789732,66,1,1,14680,8680,6000
"32","Patuakhali",7857,785769,70,0,1,130950,75260,55690
"33","Patuakhali",7895,789533,77,1,1,113800,93800,20000
"34","Patuakhali",7857,785711,78,0,1,60112,24000,36112
"35","Khulna",4730,473033,79,0,0,12000,6000,6000
"36","Khulna",4712,471235,81,1,1,35000,21000,14000
"37","Satkhira",8743,874387,82,1,1,136550,111550,25000
"38","Satkhira",8782,878281,84,1,1,60000,36000,24000
"39","Khulna",4730,473061,85,0,1,58500,48500,10000
"40","Satkhira",8782,878281,87,1,1,62240,47840,14400
"41","Patuakhali",7852,785242,92,1,1,22280,17280,5000
"42","Khulna",4730,473006,95,0,1,107240,82240,25000
"43","Khulna",4730,473040,98,1,1,146400,78400,68000
"44","Satkhira",8790,879079,99,1,1,21960,15960,6000
"45","Barguna",409,40963,100,1,1,1e+05,70000,30000
"46","Jessore",4104,410442,105,1,1,27760,18000,9760
"47","Patuakhali",7895,789531,106,1,1,9935,9435,500
"48","Satkhira",8782,878251,108,0,1,32950,22450,10500
"49","Barguna",409,40987,111,1,1,81160,61160,20000
"50","Jessore",4161,416172,112,1,1,43680,19680,24000
"51","Satkhira",8704,870434,115,0,1,59500,34500,25000
"52","Satkhira",8782,878247,121,1,1,28040,24440,3600
"53","Khulna",4730,473027,122,0,1,40000,20000,20000
"54","Barguna",409,40923,124,1,1,72000,48000,24000
"55","Khulna",4730,473020,125,0,1,54000,24000,30000
"56","Barguna",409,40987,128,1,1,63952,53952,10000
"57","Khulna",4712,471271,133,1,1,60000,53800,6200
"58","Barguna",409,40987,135,1,1,66040,46040,20000
"59","Patuakhali",7897,789783,137,0,1,184920,104920,80000
"60","Satkhira",8782,878227,139,1,0,1200,700,500
"61","Jessore",4161,416172,143,1,1,81200,71200,10000
"62","Barguna",409,40923,145,1,0,48680,43680,5000
"63","Satkhira",8790,879079,147,1,1,53300,38300,15000
"64","Satkhira",8790,879071,149,1,1,51980,41980,10000
"65","Khulna",4730,473081,153,0,1,30000,12100,17900
"66","Barguna",409,40963,155,1,1,48680,43680,5000
"67","Patuakhali",7857,785755,156,0,1,41820,32820,9000
"68","Satkhira",8790,879007,158,1,1,39640,25240,14400
"69","Patuakhali",7895,789567,161,1,1,106040,78000,28040
"70","Patuakhali",7897,789732,166,0,1,13320,6320,7000
"71","Patuakhali",7895,789510,170,1,1,160000,115000,45000
"72","Khulna",4730,473088,171,0,1,8840,4840,4000
"73","Khulna",4712,471271,172,1,1,50000,25000,25000
"74","Satkhira",8782,878251,176,0,0,10500,4500,6000
"75","Khulna",4730,473067,179,0,1,51160,26160,25000
"76","Patuakhali",7857,785739,186,0,1,25600,13600,12000
"77","Khulna",4730,473081,188,0,1,30720,15720,15000
"78","Khulna",4730,473033,189,0,1,20500,9500,11000
"79","Satkhira",8704,870434,190,0,1,11300,6300,5000
"80","Patuakhali",7857,785737,197,0,1,7230,5230,2000
"81","Jessore",4138,413876,198,1,0,22080,18480,3600
"82","Patuakhali",7895,789510,200,1,1,187442,177442,10000
"83","Khulna",4730,473094,203,1,1,11000,9500,1500
"84","Satkhira",8743,874387,207,1,1,55800,43800,12000
"85","Patuakhali",7895,789527,211,1,1,163100,120000,43100
"86","Khulna",4764,476427,212,0,1,15000,10000,5000
"87","Jessore",4138,413819,213,1,1,53160,29160,24000
"88","Khulna",4730,473013,215,0,1,129600,81600,48000
"89","Patuakhali",7895,789513,218,1,1,2e+05,152000,48000
"90","Patuakhali",7895,789533,221,1,0,60000,35000,25000
"91","Patuakhali",7897,789744,224,1,1,110150,100150,10000
"92","Satkhira",8790,879079,225,1,1,101000,81000,20000
"93","Khulna",4712,471259,231,0,1,113000,83000,30000
"94","Patuakhali",7895,789574,232,1,1,147424,122424,25000
"95","Patuakhali",7866,786629,234,0,1,63100,33100,30000
