"","district","upazila","union","hpa_id","license","train_yn","mou_le","mou_retailer","is_le_agent","revenue","cost","profit"
"1","Khulna",4730,473081,1,1,1,1,1,1,78000,63000,15000
"2","Satkhira",8743,874339,2,1,1,1,1,1,370000,250000,120000
"3","Khulna",4730,473027,3,0,1,1,1,1,71000,45400,25600
"4","Khulna",4730,473088,4,1,1,0,0,0,54000,42000,12000
"5","Patuakhali",7857,785750,5,0,1,1,1,1,93000,78600,14400
"6","Patuakhali",7866,786629,7,1,1,1,1,1,64000,34000,30000
"7","Patuakhali",7857,785722,8,1,1,1,1,1,148000,128000,20000
"8","Patuakhali",7897,789744,9,1,1,1,1,1,20000,11500,8500
"9","Jessore",4138,413819,10,0,1,1,1,1,70000,50000,20000
"10","Patuakhali",7857,785750,12,0,1,1,1,1,272695,196695,76000
"11","Satkhira",8743,874347,13,1,1,1,0,1,386000,302000,84000
"12","Khulna",4712,471235,14,1,1,1,0,1,31000,26500,4500
"13","Khulna",4730,473020,15,1,1,1,0,1,74000,59000,15000
"14","Satkhira",8743,874347,18,1,1,0,1,1,185000,140000,45000
"15","Patuakhali",7852,785210,19,1,0,1,1,1,15466,12466,3000
"16","Khulna",4730,473013,23,1,1,1,1,1,74000,42000,32000
"17","Khulna",4730,473006,29,1,1,1,1,1,92000,72000,20000
"18","Patuakhali",7857,785769,30,1,1,1,1,1,26000,21200,4800
"19","Satkhira",8743,874339,34,1,1,1,1,1,148000,115000,33000
"20","Patuakhali",7895,789567,37,1,1,1,1,1,92000,68000,24000
"21","Patuakhali",7866,786659,38,1,1,1,1,1,85000,65000,20000
"22","Patuakhali",7857,785737,39,1,1,1,1,1,45000,34500,10500
"23","Patuakhali",7895,789540,40,1,1,1,1,1,185582,149582,36000
"24","Patuakhali",7852,785210,41,1,1,1,1,1,92790,80790,12000
"25","Patuakhali",7857,785769,42,1,1,1,1,1,110000,88400,21600
"26","Khulna",4730,473067,43,1,1,1,0,1,19000,15000,4000
"27","Khulna",4730,473013,44,1,1,1,1,1,88150,65150,23000
"28","Khulna",4730,473094,45,1,1,1,NA,1,69000,64000,5000
"29","Khulna",4730,473094,46,0,1,1,1,1,23000,18000,5000
"30","Satkhira",8782,878247,47,1,1,1,1,1,85000,60000,25000
"31","Khulna",4730,473067,49,1,1,1,1,1,38500,20500,18000
"32","Patuakhali",7857,785767,51,1,1,1,1,1,47000,39000,8000
"33","Patuakhali",7897,789783,52,1,1,1,1,0,56400,41800,14600
"34","Patuakhali",7895,789533,54,1,1,1,1,1,77000,53000,24000
"35","Jessore",4161,416172,57,1,1,1,1,1,155000,113400,41600
"36","Patuakhali",7895,789574,58,1,1,1,1,1,14000,6000,8000
"37","Patuakhali",7897,789734,60,1,1,1,1,1,30930,16930,14000
"38","Patuakhali",7897,789734,62,1,1,1,1,1,138100,89000,49100
"39","Patuakhali",7895,789513,63,1,1,1,1,1,92790,68790,24000
"40","Patuakhali",7866,786629,65,1,1,1,1,1,22000,16000,6000
"41","Patuakhali",7857,785769,70,1,1,1,1,1,372000,276000,96000
"42","Khulna",4712,471271,72,0,1,1,0,1,70000,48400,21600
"43","Patuakhali",7895,789533,77,1,1,1,1,1,55674,41274,14400
"44","Patuakhali",7857,785711,78,0,1,1,1,1,124000,106000,18000
"45","Satkhira",8743,874387,82,1,1,1,0,1,28000,23000,5000
"46","Khulna",4730,473061,83,1,1,1,1,1,145000,87000,58000
"47","Khulna",4730,473061,85,0,1,1,1,1,1e+05,74000,26000
"48","Satkhira",8782,878281,87,1,1,1,1,1,93000,76988,16012
"49","Patuakhali",7895,789567,88,1,1,1,1,1,55000,31000,24000
"50","Khulna",4730,473020,90,1,1,1,1,1,43000,35000,8000
"51","Patuakhali",7897,789734,91,0,1,0,0,0,1085,935,150
"52","Patuakhali",7852,785242,92,1,1,1,1,1,45000,36000,9000
"53","Satkhira",8782,878227,96,1,1,1,1,1,46000,21000,25000
"54","Patuakhali",7852,785242,97,1,1,1,1,1,285500,196500,89000
"55","Khulna",4730,473040,98,1,1,1,1,1,142279,86279,56000
"56","Barguna",409,40963,100,1,1,1,1,1,78000,48000,30000
"57","Patuakhali",7895,789531,106,1,1,1,1,1,27000,22200,4800
"58","Patuakhali",7897,789744,110,0,1,0,1,0,4330,3530,800
"59","Barguna",409,40987,111,1,1,1,1,1,27000,15000,12000
