variable,meaning
district,Highest administrative unit
upazila,Administrative unit
union,Administrative unit (up to this level we are certain of the validity of location information)
village,"Administrative unit (anonymised, consistent between data sets, very often missing)"
date,Date of data collection (rounded to quarters)
hh_head_gender,What is the gender of the head of the household?
hh_head_age,"What is the age of the head of the household? (their date of birth was given in the questionnaire, calculated into their age and bucketed; 18-25 = 21, 26-30 = 28, 31-35 = 33,… >45 = 43; ages over 80 or below 18 are ommitted)"
hh_head_educ,What is the level of education of the head of the household?
hh_ses,What is the households socio-economic status?
hh_under12,How many household members are 12 years old or younger?
asts_tv,Does the household own any televisions?
asts_fan,Does the household own any fans?
asts_phone,Does the household own any phones?
asts_bike,"Does the household own any bicycle/motorcycle/scooter or motor car, etc?"
agri_access,Does the household own (or rent/sharecrop/mortgage in or out) 51 or more decimals of cultivable land (excluding uncultivable & homestead)?
know_nutri,What do you know about the nutritious foods?
know_nutri_women_healthy,Nutritional benefits for adolescent girls and young women? - makes them strong & healthy
know_nutri_women_anemia,Nutritional benefits for adolescent girls and young women? - prevents anemia
meal_women_three,How many meals a day and types of food are usually given to adolescent girls and young women (including you) in your household? - at least three meals per day
meal_women_diverse,How many meals a day and types of food are usually given to adolescent girls and young women (including you) in your household? - different types of colorful foods
meal_women_meat,"How many meals a day and types of food are usually given to adolescent girls and young women (including you) in your household? - at least one meal includes fish, chicken, eggs or meat"
know_anemia_ifa,What do you know about the need of supplementary foods and medicines for them to prevent anemia? - iron & folic acid
know_anemia_deworming,What do you know about the need of supplementary foods and medicines for them to prevent anemia? - de-worming medicine
know_anemia_diary,"What do you know about the need of supplementary foods and medicines for them to prevent anemia? - fish, milk, egg"
know_anemia_veg,What do you know about the need of supplementary foods and medicines for them to prevent anemia? - vegetables
know_anemia_fruit,What do you know about the need of supplementary foods and medicines for them to prevent anemia? - fruits
know_anemia_other,What do you know about the need of supplementary foods and medicines for them to prevent anemia? - other
take_anemia_freq_ifa_weekly,Takes IFA (iron & folic acid) weekly
take_anemia_freq_deworm_bianual,Takes de-worming medicine twice a year
take_anemia_freq_other,Takes IFA (iron & folic acid) at another frequency
anc_yn,"When you were pregnant, did you receive antenatal care services?"
anc_num,"If yes, how many time did you visit for ANC services?"
anc_where_home,Where did you receive ANC services? - at home
anc_where_community_clinic,Where did you receive ANC services? - community clinic
anc_where_union_centre,Where did you receive ANC services? - Union Helath & Family Welfare Centre
anc_where_gov_hospital,Where did you receive ANC services? - Other government hospital
anc_where_ngo_clinic,Where did you receive ANC services? -  NGO-run clinic
anc_where_private,Where did you receive ANC services? - Private doctor/clinic/hospital
anc_card,Can you show your ANC service record/card?
know_nutri_pregnant_health,What do you know about the benefits of sufficient nutritious foods and extra care for pregnant women? - Improves health / helps maintain strength
know_nutri_pregnant_miscarriage,What do you know about the benefits of sufficient nutritious foods and extra care for pregnant women? - Reduces risk of miscarriage
meal_pregnant_extra_food,What nutritious foods were you or other pregnant women getting? - extra bowl of food a day
meal_pregnant_diverse,What nutritious foods were you or other pregnant women getting? - getting different types of food
meal_pregnant_meat,"What nutritious foods were you or other pregnant women getting? - eating fish, meat, eggs, chicken at least once a day"
meal_pregnant_extra_meal,What nutritious foods were you or other pregnant women getting? - Getting at least one extra meal per day
meal_pregnant_other,What nutritious foods were you or other pregnant women getting? - Other
care_pregnant_rest,"Apart from foods, what extra cares were you or pregnant women getting? - Getting adequate rest and are advised to avoid  carrying heavy objects"
care_pregnant_anc,"Apart from foods, what extra cares were you or pregnant women getting? - Regularly taken to health facility for ANC visits & services"
care_pregnant_supplements_healthworker,"Apart from foods, what extra cares were you or pregnant women getting? - Getting calcium and IFA tablets daily from the health worker"
care_pregnant_supplements_home,"Apart from foods, what extra cares were you or pregnant women getting? - Taking IFA with food to prevent nausea and drink lots of water"
care_pregnant_iodized_salt,"Apart from foods, what extra cares were you or pregnant women getting? - Using iodized salt"
care_pregnant_other,"Apart from foods, what extra cares were you or pregnant women getting? - Other"
child_age,"How old is your last child now? (in months, bucketed by year)"
know_eib_benefit_stimulate_milk,What do you know about the benefits of early initiation of breastfeeding? - It stimulates milk production and prevent hemorrhage
know_eib_benefit_illness,"What do you know about the benefits of early initiation of breastfeeding? - It helps to protect the infant from illness, and to expel illness"
know_eib_benefit_expel_placenta,What do you know about the benefits of early initiation of breastfeeding? - Helps expel the placenta and reduces postpartum bleeding
know_eib_benefit_health_child,What do you know about the benefits of early initiation of breastfeeding? - Children become healthy
know_eib_benefit_other,What do you know about the benefits of early initiation of breastfeeding? - Other
know_ebf_benefit_nutri,"What do you know about the benefits of exclusive breastfeeding to babies from birth up 6 months of age? - It provides the best possible nourishment for babies, builds strength"
know_ebf_benefit_stimulate_milk,What do you know about the benefits of exclusive breastfeeding to babies from birth up 6 months of age? - Helps produce enough milk flow and ensures enough food for my baby
know_ebf_benefit_health_child,What do you know about the benefits of exclusive breastfeeding to babies from birth up 6 months of age? - Helps babies to grow healthy and strong
know_ebf_benefit_other,What do you know about the benefits of exclusive breastfeeding to babies from birth up 6 months of age? - Other
postnatal_skin_contact,"Can you remember, what did you do first/immediately after giving birth to your child? - Put my baby on my breast (skin-to-skin touch) immediately"
postnatal_eibf,"Can you remember, what did you do first/immediately after giving birth to your child? - I started early initiation of breastfeeding i.e. giving breast milk"
postnatal_other,"Can you remember, what did you do first/immediately after giving birth to your child? - Other"
eibf_first,How long after birth did you first put your baby to the breast?
child_3days_food_yn,"In the first three days after delivery, was your baby given anything to drink other than breast milk?"
child_3days_milk,"If yes, what? - Milk (other than breast milk)"
child_3days_water,"If yes, what? - Plain water"
child_3days_sugarwater,"If yes, what? - Sugar or glucose water"
child_3days_gripewater,"If yes, what? - Gripe water"
child_3days_ors,"If yes, what? - ORS (oral rehydration solution)"
child_3days_fruitjuice,"If yes, what? - Fruit juice"
child_3days_formula,"If yes, what? - Infant formula"
child_3days_honey,"If yes, what? - Honey"
child_3days_tea,"If yes, what? - Tea"
child_3days_coffee,"If yes, what? - Coffee"
child_3days_other,"If yes, what? - Other"
child_6mon_food_yn,"In the first 6 months after your baby was born, was s/he given anything to drink or eat other than breast milk?"
child_6mon_milk,"If yes, what? - Milk (other than breast milk)"
child_6mon_water,"If yes, what? - Plain water"
child_6mon_sugarwater,"If yes, what? - Sugar or glucose water"
child_6mon_gripewater,"If yes, what? - Gripe water"
child_6mon_ors,"If yes, what? - ORS"
child_6mon_fruitjuice,"If yes, what? - Fruit juice"
child_6mon_formula,"If yes, what? - Infant formula"
child_6mon_honey,"If yes, what? - Honey"
child_6mon_tea,"If yes, what? - Tea"
child_6mon_coffee,"If yes, what? - Coffee"
child_6mon_rice,"If yes, what? - Rice"
child_6mon_fruit_veg,"If yes, what? - Fruits/vegetables"
child_6mon_suji,"If yes, what? - Rice powder/ Suji"
child_6mon_other,"If yes, what? - Other"
ebf_how_only_breast,What did you do to make sure that your baby from the birth to 6 months of age was exclusively breastfed? - Gave only breast milk- and no water or other liquids or food
ebf_how_breast_often,What did you do to make sure that your baby from the birth to 6 months of age was exclusively breastfed? - Breastfeed as often as my baby wants to eat -at least eight times a day
cbf_till_age,For how many months did you breastfeed your last child?
pnc_within_2days,Did you receive PNC services within 2 days of birth?
pnc_num,How many times did you receive PNC
pnc_where_home,Where did you receive PNC services from? - At home
pnc_where_community_clinic,Where did you receive PNC services from? - Community Clinics
pnc_where_union_centre,Where did you receive PNC services from? - Union Health & Family Welfare Center (UH&FWC)
pnc_where_gov_hospital,Where did you receive PNC services from? - Other government hospitals
pnc_where_ngo_clinic,Where did you receive PNC services from? - NGO-run clinics
pnc_where_private,Where did you receive PNC services from? - Private doctor/clinics/hospitals
pnc_where_other,Where did you receive PNC services from? - Other
pnc_card,Can you show your PNC records/card?
meal_breast_extra,"When you were breastfeeding, what did you usually eat? - Eat two extra bowls of food"
meal_breast_vitamins,"When you were breastfeeding, what did you usually eat? - Receive enough vitamins and minerals"
meal_breast_diverse,"When you were breastfeeding, what did you usually eat? - Eat many different types of foods"
meal_breast_water,"When you were breastfeeding, what did you usually eat? - Drink plenty of clean/safe water"
meal_breast_ifa,"When you were breastfeeding, what did you usually eat? - Continue taking IFA supplements for three months after delivery"
meal_breast_other,"When you were breastfeeding, what did you usually eat? - Other"
know_cbf_need_more,"What do you know about the complementary feeding to baby in 6 months and beyond and its benefits to them? - until six months, breast milk alone was no longer enough"
know_cbf_nutrients,What do you know about the complementary feeding to baby in 6 months and beyond and its benefits to them? - It ensures important and added source of nutrients to protect the baby
know_cbf_other,What do you know about the complementary feeding to baby in 6 months and beyond and its benefits to them? - Other
cbf_first_food_mashed,What did you do when introducing complementary feeding to your baby? - Gave pureed or mashed food twice a day when s/he was six months
cbf_first_food_rice_veg,"What did you do when introducing complementary feeding to your baby? - Gave rice, dark green leafy vegetables, fish, meat, and eggs"
