"","union","count_anc_received","perc_anc_received","count_pnc_received","perc_pnc_received","count_anc_referral","perc_anc_referral","count_pnc_referral","perc_pnc_referral"
"1",785711,NA,NA,NA,NA,NA,NA,NA,NA
"2",785767,NA,NA,NA,NA,NA,NA,NA,NA
"3",785778,NA,NA,NA,NA,NA,NA,NA,NA
"4",785755,NA,NA,NA,NA,NA,NA,NA,NA
"5",785750,NA,NA,NA,NA,NA,NA,NA,NA
"6",785722,NA,NA,NA,NA,NA,NA,NA,NA
"7",785769,NA,NA,NA,NA,NA,NA,NA,NA
"8",789732,NA,NA,NA,NA,NA,NA,NA,NA
"9",789540,NA,NA,NA,NA,NA,NA,NA,NA
"10",785242,NA,NA,NA,NA,NA,NA,NA,NA
"11",785210,NA,NA,NA,NA,NA,NA,NA,NA
"12",471271,141,92,103,73,141,100,103,73
"13",471235,125,90,91,73,125,100,91,73
"14",471283,151,85,115,76,151,100,115,76
"15",471259,125,95,85,68,125,100,85,68
"16",476427,138,75,105,76,138,100,105,76
"17",473067,159,85,113,71,159,100,113,71
"18",473061,129,95,97,75,129,100,97,75
"19",473020,134,80,98,73,134,100,98,73
"20",473074,138,85,101,73,138,100,101,73
"21",473033,137,95,94,68,137,100,94,68
"22",473013,139,75,98,70,139,100,98,70
"23",473081,134,90,104,77,134,100,104,77
"24",473088,137,85,105,76,137,100,105,76
"25",473027,129,93,97,75,129,100,97,75
"26",473094,121,88,98,80,121,100,98,80
"27",473040,131,85,85,64,131,100,85,64
"28",473006,124,90,95,77,124,100,95,77
"29",786629,455,81,387,69,223,49,205,53
"30",786659,388,84,313,71,234,60,189,60
"31",40923,610,87,523,76,367,60,266,51
"32",40963,658,84,556,73,456,69,276,50
"33",40987,674,86,513,77,279,41,235,46
"34",789574,604,89,493,79,350,57,266,54
"35",789510,483,84,389,81,329,68,187,48
"36",789567,615,83,532,83,436,70,306,58
"37",789533,495,88,289,88,189,38,196,68
"38",789527,582,86,477,82,267,46,209,44
"39",789513,601,89,387,79,356,59,298,77
"40",789531,592,78,417,75,311,53,305,73
"41",878227,140,95,125,89,140,100,102,75
"42",878247,215,90,212,99,215,100,159,60
"43",870434,102,85,91,89,102,100,75,65
"44",879007,130,91,115,88,130,100,97,75
"45",878254,225,85,215,96,225,100,165,80
"46",878251,148,88,125,84,148,100,109,74
"47",413819,250,91,250,100,250,100,185,74
"48",874339,210,85,205,98,210,100,155,74
"49",878267,215,88,212,99,215,100,159,81
"50",874347,250,90,250,100,250,100,185,60
"51",874387,240,85,240,100,240,100,177,70
"52",878281,215,95,212,99,215,100,160,70
"53",416172,252,95,200,79,252,100,186,65
"54",879071,125,95,110,88,125,100,92,75
"55",410442,180,90,150,83,180,100,133,80
"56",879079,165,85,58,89,165,100,122,60
"57",413876,91,90,85,93,91,100,67,65
"58",789783,1215,92,578,90,917,75,412,71
"59",789744,1175,94,512,91,871,74,432,84
"60",789734,1237,90,537,84,933,75,425,79
"61",785739,1221,92,491,92,929,76,385,78
"62",785737,1079,91,495,91,875,81,311,63
