"","union","organised","turnout"
"1",785711,1036,33
"2",785767,1036,32
"3",785778,1036,34
"4",785755,1036,31
"5",785750,1036,35
"6",785722,1036,32
"7",785769,1036,33
"8",789732,1036,31
"9",789540,1036,34
"10",785242,1036,35
"11",785210,1036,33
"12",471271,4212,26
"13",471235,2106,24
"14",471283,3054,27
"15",471259,2418,26
"16",476427,2345,28
"17",473067,2262,26
"18",473061,2366,25
"19",473020,2938,26
"20",473074,3042,27
"21",473033,2938,26
"22",473013,2145,25
"23",473081,2262,26
"24",473088,2132,26
"25",473027,3345,28
"26",473094,2874,29
"27",473040,2860,26
"28",473006,2964,26
"29",786629,4508,30
"30",786659,2944,28
"31",40923,6026,33
"32",40963,6946,31
"33",40987,6946,30
"34",789574,4784,34
"35",789510,5566,30
"36",789567,6762,33
"37",789533,3680,30
"38",789527,4600,33
"39",789513,5198,32
"40",789531,5244,31
"41",878227,3686,20
"42",878247,4915,20
"43",870434,6912,18
"44",879007,4531,27
"45",878254,5914,27
"46",878251,4454,25
"47",413819,4570,20
"48",874339,4378,21
"49",878267,6067,20
"50",874347,3379,21
"51",874387,2304,15
"52",878281,5069,23
"53",416172,3110,22
"54",879071,3571,20
"55",410442,4378,20
"56",879079,4493,20
"57",413876,4032,20
"58",789783,2470,25
"59",789744,2166,27
"60",789734,2156,23
"61",785739,2185,24
"62",785737,2090,23
