"","union","latrines","tube_wells","women_bathing_chambers","hand_washing_devices"
"1",785722,2132,247,137,3224
"2",789540,1840,241,130,3140
"3",785210,2160,264,134,3125
"4",785242,2193,271,125,2974
"5",785711,2824,298,137,3559
"6",785767,1987,236,87,2733
"7",785755,2578,235,116,3316
"8",785778,2382,239,101,3158
"9",785769,2539,232,140,3466
"10",785750,2055,197,131,3316
"11",789732,765,96,22,730
"12",471271,2767,174,152,5959
"13",471235,2240,132,135,5964
"14",471283,2839,171,136,5099
"15",471259,3096,175,132,5659
"16",476427,2743,0,140,5293
"17",473067,2077,129,140,5406
"18",473061,2794,143,147,5778
"19",473020,3282,158,123,5459
"20",473074,2763,179,153,5864
"21",473033,2764,132,134,5409
"22",473013,2822,181,152,5582
"23",473081,2398,173,155,5652
"24",473088,2465,119,141,5157
"25",473027,2052,133,128,5078
"26",473094,1954,131,140,5000
"27",473040,2184,133,148,5898
"28",473006,2732,160,140,5964
"29",786629,3033,158,116,2961
"30",786659,2441,187,135,1586
"31",40923,2773,453,119,3135
"32",40963,4817,568,211,4619
"33",40987,4413,535,113,3823
"34",789574,2757,414,153,2299
"35",789510,3078,427,143,2586
"36",789567,4109,558,160,2007
"37",789533,2631,452,128,2402
"38",789527,3332,542,181,2198
"39",789513,3326,557,156,2649
"40",789531,3197,590,132,2995
"41",878227,2414,429,195,3381
"42",878247,2183,321,164,3366
"43",870434,1654,337,190,4126
"44",879007,1745,475,162,3080
"45",878254,1458,364,130,3153
"46",878251,1669,289,139,3461
"47",413819,1454,372,148,4611
"48",874339,1605,291,145,2166
"49",878267,2105,289,151,3268
"50",874347,1916,313,219,4021
"51",874387,1881,289,136,3915
"52",878281,2296,324,227,3491
"53",416172,2454,372,191,4422
"54",879071,1638,410,194,3725
"55",410442,2234,353,251,3692
"56",879079,2499,337,180,4231
"57",413876,1680,295,150,3648
"58",789783,3451,131,105,3202
"59",789744,3084,120,100,3107
"60",789734,3687,142,131,3130
"61",785739,3362,123,102,3121
"62",785737,2965,104,98,3072
